nama_video,label,jumlah_orang_per_frame,avg_speed,overlap_count
-1l5631l3fg_0,Fight,"[1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1]","[0.0, 1.0683133602142334, 0.14209380745887756, 1.2901391983032227, 1.2970901727676392, 0.7225940227508545, 1.4706847667694092, 0.7889179587364197, 1.004624843597412, 0.872044563293457, 0.8167040944099426, 1.349820852279663, 0.1438373178243637, 1.188215970993042, 1.757188081741333, 0.9532186388969421]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0]"
-1l5631l3fg_1,Fight,"[2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.7750028967857361, 0.13910339772701263, 0.6719925403594971, 1.2379528284072876, 1.1908187866210938, 0.7076086401939392, 10.058263778686523, 0.48301419615745544, 0.37263578176498413, 0.2623385787010193, 0.21035128831863403, 0.08285333216190338, 0.2557258903980255, 0.17594873905181885, 0.1111999899148941]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-1l5631l3fg_2,Fight,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 1, 1, 0, 1]","[0.0, 0.19778698682785034, 0.105638787150383, 0.189777672290802, 0.20593670010566711, 0.19014720618724823, 0.18285608291625977, 0.27484405040740967, 0.22097395360469818, 0.2679453492164612, 0.2950213551521301, 0.23186659812927246, 0.07442927360534668, 0.226991206407547, 0.27180397510528564, 0.20499251782894135]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0H2s9UJcNJ0_0,Fight,"[11, 12, 10, 8, 19, 17, 13, 19, 12, 14, 11, 13, 11, 8, 12, 10]","[0.0, 6.843294143676758, 6.351444721221924, 7.268172740936279, 7.666976451873779, 5.944894313812256, 6.654224395751953, 5.966171741485596, 6.309901237487793, 5.541441917419434, 5.169182300567627, 5.305194854736328, 6.436098575592041, 6.836393356323242, 6.806832790374756, 5.855441093444824]","[0, 1, 0, 2, 8, 7, 4, 12, 2, 4, 2, 5, 1, 0, 2, 3]"
0H2s9UJcNJ0_2,Fight,"[8, 4, 8, 9, 8, 7, 11, 8, 11, 8, 11, 12, 10, 6, 8, 6]","[0.0, 4.640153408050537, 5.3605194091796875, 3.55686092376709, 4.875136852264404, 4.11836576461792, 5.048639297485352, 4.187992572784424, 3.4289567470550537, 3.811619520187378, 5.531100273132324, 4.570388317108154, 3.7893288135528564, 2.960162878036499, 2.4736263751983643, 3.068291187286377]","[0, 0, 0, 2, 2, 0, 4, 1, 1, 0, 4, 3, 2, 0, 1, 0]"
0H2s9UJcNJ0_3,Fight,"[11, 11, 12, 10, 8, 11, 10, 10, 15, 16, 15, 14, 10, 10, 15, 13]","[0.0, 3.450073719024658, 3.293911933898926, 3.5487520694732666, 4.090147495269775, 4.342459678649902, 4.384628772735596, 4.018959999084473, 4.1529388427734375, 6.271459579467773, 6.854785919189453, 6.766797065734863, 6.94580078125, 6.5497026443481445, 6.686594009399414, 6.9157819747924805]","[3, 1, 2, 1, 0, 3, 0, 1, 4, 5, 4, 3, 1, 0, 1, 2]"
0H2s9UJcNJ0_4,Fight,"[9, 9, 7, 10, 9, 10, 11, 11, 10, 14, 8, 11, 9, 12, 8, 10]","[0.0, 6.488587856292725, 5.366725921630859, 4.474344730377197, 4.806844711303711, 3.8983311653137207, 3.8861968517303467, 4.444110870361328, 4.152572154998779, 3.7708005905151367, 4.145577430725098, 4.191628456115723, 3.8396291732788086, 4.992502212524414, 4.678828716278076, 4.990536689758301]","[1, 0, 1, 3, 1, 1, 0, 1, 1, 2, 0, 1, 1, 4, 2, 3]"
0H2s9UJcNJ0_5,Fight,"[8, 7, 7, 6, 6, 6, 7, 6, 4, 4, 7, 3, 7, 6, 5, 6]","[0.0, 2.1216187477111816, 3.5076980590820312, 2.7657337188720703, 1.7146152257919312, 2.285447597503662, 1.8156275749206543, 1.4674321413040161, 1.830711007118225, 2.209108829498291, 1.9225962162017822, 2.434115409851074, 2.7616896629333496, 3.153369188308716, 3.548072099685669, 2.3147523403167725]","[3, 2, 0, 1, 1, 1, 3, 2, 0, 0, 2, 0, 4, 1, 0, 1]"
0lHQ2f0d_0,Fight,"[2, 7, 5, 3, 1, 3, 5, 4, 2, 2, 7, 4, 3, 5, 4, 5]","[0.0, 0.708522617816925, 0.7618468403816223, 0.81153804063797, 1.3631285429000854, 1.2015000581741333, 1.373510718345642, 1.7163338661193848, 1.6713813543319702, 1.3354523181915283, 2.0839903354644775, 2.020315408706665, 2.3984904289245605, 1.3822423219680786, 1.1434073448181152, 1.7401776313781738]","[0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2]"
0lHQ2f0d_1,Fight,"[8, 7, 6, 2, 8, 9, 6, 7, 7, 4, 6, 5, 7, 6, 3, 1]","[0.0, 1.5129603147506714, 1.8818278312683105, 2.550736904144287, 1.675377368927002, 2.242753028869629, 1.6195831298828125, 1.5539554357528687, 1.7901579141616821, 1.7381165027618408, 1.0797170400619507, 1.0421085357666016, 0.720403254032135, 0.8717056512832642, 0.7887004017829895, 0.8743582367897034]","[2, 1, 2, 0, 1, 1, 0, 1, 1, 0, 0, 1, 3, 1, 0, 0]"
0lHQ2f0d_2,Fight,"[3, 7, 4, 2, 0, 6, 5, 5, 5, 4, 2, 4, 5, 6, 3, 3]","[0.0, 0.7900422215461731, 0.8629395365715027, 0.7776865363121033, 0.780573308467865, 0.7669695615768433, 1.0987012386322021, 0.7133380770683289, 0.848482072353363, 0.786669135093689, 1.036388874053955, 1.080700159072876, 0.4662918150424957, 0.44351255893707275, 0.3999879062175751, 0.5924167633056641]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
0lHQ2f0d_3,Fight,"[3, 6, 6, 4, 3, 1, 5, 2, 6, 6, 6, 4, 6, 2, 8, 5]","[0.0, 0.38270217180252075, 0.29374194145202637, 0.5436874628067017, 0.5211601257324219, 0.5098427534103394, 0.39124277234077454, 0.33380937576293945, 0.4203636050224304, 0.46594107151031494, 0.49618104100227356, 0.740066647529602, 1.0249587297439575, 0.9141770601272583, 0.9140818119049072, 0.9533619284629822]","[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 3, 1]"
0NWz-01A2yk_0,Fight,"[1, 1, 0, 0, 1, 1, 1, 2, 0, 2, 1, 1, 1, 0, 0, 0]","[0.0, 2.9855175018310547, 2.362177610397339, 2.409487724304199, 1.687729001045227, 1.050229549407959, 0.7313680052757263, 1.0414578914642334, 1.389607548713684, 0.9834957718849182, 1.2047020196914673, 1.1451913118362427, 1.1556237936019897, 0.9047307372093201, 0.7136082649230957, 0.8405026197433472]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
0NWz-01A2yk_1,Fight,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 1.6535371541976929, 1.3960872888565063, 0.8215375542640686, 1.4808974266052246, 1.1331934928894043, 2.1915431022644043, 1.2027671337127686, 2.1666038036346436, 3.860222816467285, 1.637879490852356, 2.330857276916504, 1.6403067111968994, 0.5586159825325012, 0.17925623059272766, 0.10286925733089447]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0TFi8D8IBg4_1,Fight,"[5, 5, 4, 4, 4, 3, 5, 4, 4, 4, 4, 2, 3, 4, 3, 1]","[0.0, 5.67990779876709, 6.186026096343994, 6.651642322540283, 4.052389144897461, 4.028109073638916, 5.10031795501709, 2.766875743865967, 2.6869518756866455, 2.4943225383758545, 3.104663848876953, 4.345954418182373, 6.042781352996826, 5.80525016784668, 5.608551025390625, 3.7329211235046387]","[0, 3, 1, 0, 2, 1, 2, 0, 1, 2, 1, 0, 0, 1, 0, 0]"
0vasozvJYvk_0,Fight,"[3, 4, 3, 4, 2, 4, 7, 7, 6, 4, 4, 4, 4, 3, 4, 3]","[0.0, 2.2077081203460693, 1.8298720121383667, 1.7468407154083252, 1.0299345254898071, 1.0329439640045166, 1.3431525230407715, 1.3811545372009277, 1.231849193572998, 0.8395189046859741, 1.2148029804229736, 1.390920639038086, 1.2600990533828735, 1.4503264427185059, 0.9905512928962708, 0.9236918687820435]","[0, 1, 0, 0, 0, 1, 6, 5, 4, 2, 1, 1, 2, 0, 1, 0]"
0_DzLlklZa0_3,Fight,"[11, 13, 11, 9, 11, 10, 12, 11, 11, 11, 10, 9, 10, 7, 11, 10]","[0.0, 2.2422401905059814, 1.7126182317733765, 2.135806083679199, 1.7379475831985474, 1.6784155368804932, 1.2653703689575195, 1.5692999362945557, 1.4731935262680054, 1.3683284521102905, 1.5617715120315552, 1.299066185951233, 1.235889196395874, 1.2442960739135742, 1.1908432245254517, 1.303513765335083]","[5, 9, 5, 3, 5, 2, 7, 8, 10, 13, 6, 4, 1, 1, 5, 4]"
0_DzLlklZa0_4,Fight,"[13, 12, 9, 8, 11, 8, 7, 7, 9, 7, 9, 8, 9, 9, 8, 7]","[0.0, 1.6827142238616943, 2.4032514095306396, 1.441245675086975, 1.4858916997909546, 1.3460904359817505, 1.7566354274749756, 1.345422625541687, 1.922609806060791, 1.5766770839691162, 1.8517683744430542, 1.4731225967407227, 1.8333317041397095, 2.5230045318603516, 2.013016700744629, 2.237788438796997]","[6, 8, 3, 2, 6, 1, 1, 2, 4, 2, 5, 3, 4, 1, 0, 0]"
0_DzLlklZa0_5,Fight,"[6, 9, 12, 10, 12, 11, 12, 11, 11, 11, 14, 13, 11, 10, 13, 11]","[0.0, 2.262289524078369, 2.8930602073669434, 2.140115261077881, 2.80366587638855, 2.496784210205078, 3.0349714756011963, 2.704395294189453, 3.406981945037842, 2.74153208732605, 2.272719621658325, 1.9562879800796509, 2.4109528064727783, 1.629943609237671, 1.8443670272827148, 1.285177230834961]","[1, 2, 3, 0, 3, 3, 10, 5, 3, 2, 4, 4, 1, 0, 3, 0]"
0_DzLlklZa0_6,Fight,"[10, 12, 13, 12, 14, 11, 9, 9, 11, 10, 11, 10, 10, 12, 11, 10]","[0.0, 1.2561479806900024, 1.8102660179138184, 1.279140591621399, 1.4845283031463623, 1.5520418882369995, 1.5008020401000977, 1.5273758172988892, 1.8387004137039185, 1.4105550050735474, 1.6903480291366577, 2.0239157676696777, 2.5339841842651367, 3.1064229011535645, 2.9571950435638428, 3.134526014328003]","[1, 1, 1, 3, 4, 1, 0, 2, 3, 0, 2, 2, 1, 4, 3, 0]"
1060314╤äΓòò╨╜╤à╨│╨▓╤à╨┤╨╣╤å╨⌐╨»╤ë╨û╨╗╤ë╨⌐╨▓╤å╨É╨╡╤ê╨╕Γòæ╤à╨╛╨┤╤å╨¬Γöñ╤à╨Ü╨½╤äΓòæ╨¢╤äΓòùΓòó╤ÅΓò¥╨ÿ╤à╨¥╨«╤ë╨ù╨í╤àΓöéΓûæ╤ÅΓò¥╨Ö_17,Fight,"[7, 7, 8, 10, 6, 7, 7, 5, 5, 4, 7, 5, 6, 5, 6, 5]","[0.0, 4.415212154388428, 4.0124664306640625, 3.323162317276001, 2.903980016708374, 2.898879289627075, 4.224610328674316, 3.9192087650299072, 4.932589054107666, 4.662596702575684, 6.3921685218811035, 7.774351596832275, 8.360836029052734, 7.717598915100098, 6.647547721862793, 5.442406177520752]","[3, 2, 3, 5, 0, 2, 1, 1, 3, 0, 5, 1, 2, 1, 3, 0]"
1dsLuL5Lvbc_0,Fight,"[1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 2, 1, 1, 1, 3]","[0.0, 0.7879928946495056, 0.5350615382194519, 0.47557491064071655, 0.5850168466567993, 0.7028841376304626, 0.5917393565177917, 0.42425626516342163, 0.5845394730567932, 0.7283681631088257, 0.9612017273902893, 0.5841521620750427, 0.6444210410118103, 0.5241429805755615, 0.8668000102043152, 0.7274897694587708]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2]"
1dsLuL5Lvbc_1,Fight,"[2, 2, 1, 4, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 1.090078353881836, 0.7472841143608093, 0.7209654450416565, 1.0756207704544067, 0.7621204853057861, 1.0039336681365967, 0.39168238639831543, 0.5460737943649292, 0.49973466992378235, 0.6493039727210999, 0.6045523881912231, 0.7048576474189758, 0.5061635971069336, 0.4693142771720886, 0.6442692875862122]","[0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1dsLuL5Lvbc_2,Fight,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 3, 2]","[0.0, 1.1379168033599854, 0.7781021595001221, 0.6415815353393555, 0.8726155161857605, 0.7820618748664856, 1.2354950904846191, 0.9742180705070496, 1.104279637336731, 0.5847947597503662, 1.0538562536239624, 1.0468462705612183, 0.7255051732063293, 0.6193385720252991, 0.9008168578147888, 0.739027738571167]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
1dsLuL5Lvbc_3,Fight,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]","[0.0, 0.7906920313835144, 0.46292588114738464, 0.952040433883667, 0.5624849200248718, 0.5163170695304871, 0.649141788482666, 0.22036044299602509, 0.4990432858467102, 0.5268440246582031, 0.7678619623184204, 1.5942018032073975, 0.7400993704795837, 0.5944932103157043, 0.7903953790664673, 0.9480255246162415]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1DwRGRND_0,Fight,"[7, 6, 5, 6, 7, 6, 5, 3, 3, 9, 7, 8, 6, 9, 2, 2]","[0.0, 4.6633992195129395, 4.633216381072998, 5.002440929412842, 4.005050182342529, 3.9835073947906494, 4.645235538482666, 4.039103031158447, 5.093496799468994, 5.513529300689697, 4.000706672668457, 5.177429676055908, 4.70995569229126, 4.524466037750244, 6.233928203582764, 4.538959503173828]","[2, 1, 2, 0, 3, 0, 1, 0, 0, 2, 2, 1, 0, 4, 0, 0]"
1DwRGRND_1,Fight,"[5, 3, 2, 2, 9, 3, 0, 4, 0, 0, 3, 3, 5, 3, 4, 1]","[0.0, 4.711817741394043, 5.513111114501953, 4.543468475341797, 7.073548793792725, 5.135141372680664, 5.577305316925049, 5.625403881072998, 3.7502682209014893, 4.3779449462890625, 4.133286952972412, 6.192610263824463, 4.953883171081543, 4.949772834777832, 6.030362129211426, 6.133185863494873]","[0, 1, 0, 0, 7, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0]"
1O4KGHbRt3M_0,Fight,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3]","[0.0, 2.1232223510742188, 1.7015153169631958, 1.3553588390350342, 1.6290478706359863, 1.5500895977020264, 1.2752467393875122, 1.4770698547363281, 1.3147388696670532, 1.4422369003295898, 1.6735789775848389, 1.9760485887527466, 1.8380128145217896, 1.3473280668258667, 1.5004538297653198, 1.445549488067627]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3]"
